Species,Geolocation,2010 Quarter 1,2010 Quarter 2,2010 Quarter 3,2010 Quarter 4,2010 Annual,2011 Quarter 1,2011 Quarter 2,2011 Quarter 3,2011 Quarter 4,2011 Annual,2012 Quarter 1,2012 Quarter 2,2012 Quarter 3,2012 Quarter 4,2012 Annual,2013 Quarter 1,2013 Quarter 2,2013 Quarter 3,2013 Quarter 4,2013 Annual,2014 Quarter 1,2014 Quarter 2,2014 Quarter 3,2014 Quarter 4,2014 Annual,2015 Quarter 1,2015 Quarter 2,2015 Quarter 3,2015 Quarter 4,2015 Annual,2016 Quarter 1,2016 Quarter 2,2016 Quarter 3,2016 Quarter 4,2016 Annual,2017 Quarter 1,2017 Quarter 2,2017 Quarter 3,2017 Quarter 4,2017 Annual,2018 Quarter 1,2018 Quarter 2,2018 Quarter 3,2018 Quarter 4,2018 Annual,2019 Quarter 1,2019 Quarter 2,2019 Quarter 3,2019 Quarter 4,2019 Annual,2020 Quarter 1,2020 Quarter 2,2020 Quarter 3,2020 Quarter 4,2020 Annual,2021 Quarter 1,2021 Quarter 2,2021 Quarter 3,2021 Quarter 4,2021 Annual,2022 Quarter 1,2022 Quarter 2,2022 Quarter 3,2022 Quarter 4,2022 Annual,2023 Quarter 1,2023 Quarter 2,2023 Quarter 3,2023 Quarter 4,2023 Annual,2024 Quarter 1,2024 Quarter 2,2024 Quarter 3,2024 Quarter 4,2024 Annual
..Milkfish,..Region VII (Central Visayas),1458.69,1641.29,2347.48,1590.21,7037.67,1579.46,1281.74,1737.35,1681.4,6279.96,1335.07,1594.65,1652.55,1876.62,6458.88,1097.39,1636.28,2023.11,1461.11,6217.89,832.28,960.07,1503.85,1873.56,5169.76,1021.76,882.14,1688.01,1696.41,5288.31,1157.96,1028.48,1802.35,1714.47,5703.26,1025.04,794.91,1593.7,1438.76,4852.41,1140.04,917.47,1623.44,1285.64,4966.59,858.26,873.71,1451.18,1511.21,4694.35,1389.34,914.71,2293.6,1689.56,6287.21,2297.03,942.81,2674.33,1742.89,7657.06,851.41,397.87,789.6,854.64,2893.51,491.68,446.45,717.28,657.65,2313.07,688.69,1400.32,1044.21,1552.43,4685.65
..Milkfish,..Region VIII (Eastern Visayas),1572.72,5099.82,3076.65,1924.93,11674.13,1626,4868.68,3484.68,2219.19,12198.56,1770.37,4277.89,3687.74,2119.92,11855.92,1613,4566.38,3991.69,773.28,10944.35,1019.54,3002.51,2798.01,484.14,7304.19,518.54,2666.3,2127.64,346.07,5658.55,812.28,4141.22,1307.27,334.82,6595.59,440.9,4539.8,1365.82,501.44,6847.95,278.09,4343.52,1322.58,847.3,6791.49,309.4,4388.5,1073.67,1175.47,6947.04,243.34,1661.22,830.11,486.62,3221.28,440.3,889.09,1433.86,667.61,3430.87,198.72,108.52,147.05,228.63,682.92,536.76,659.81,1875.02,1652.61,4724.21,1347.13,748.18,1015.46,1435.54,4546.31
..Milkfish,..Region IX (Zamboanga Peninsula),2406.71,3850.75,3974.66,1734.37,11966.49,2017.53,3936.07,3313.05,2139.18,11405.83,2499.59,4063.03,3259.81,2262.57,12085,2292.16,4277.53,3047.07,2398.7,12015.46,1881.19,2934.27,3197.77,2235.9,10249.13,1724.01,2514.91,3400.65,1947.88,9587.45,1318.86,2591.58,2823.49,2188.57,8922.5,1965.28,2128.05,2798.21,1469.56,8361.1,1009.3,1637.94,2598.24,1528.4,6773.88,1097.25,1713.26,2315.13,1200.64,6326.28,1057.67,1482.78,2433.64,1052.68,6026.77,952.7,2224.26,2877.14,1675.41,7729.52,1075.63,1203.37,1801.5,1408.63,5489.13,647.16,677.35,957.51,958,3240.02,371.31,575.46,1478.55,1069.52,3494.85
..Milkfish,..Region X (Nothern Mindanao),1714.35,1607.04,5484.65,4070.53,12876.58,1880.15,1791.37,5218.01,4228.16,13117.69,1893.26,1924.83,5272.24,4385.03,13475.36,1348.81,1957.89,4429.71,4734.66,12471.07,1581.46,3949.46,4949.68,4922.37,15402.97,1387.49,4621.42,5831.21,4824.89,16665,2005.22,3650.7,6081.14,4845.91,16582.95,2312.92,3525.65,6039.76,4735.35,16613.69,2239.4,3509.25,5568.98,4739.83,16057.46,2205.85,3066.7,5314.74,4598.34,15185.62,2228.22,3202.19,4917.83,4443.54,14791.77,2298,3121.06,5033.38,4133.2,14585.64,1621.62,3022.93,3034.29,2656.91,10335.76,1109.83,1947.07,2026.57,1943.49,7026.96,1436.29,1918.58,1555.57,2341.93,7252.37
..Milkfish,..Region XI (Davao Region),5335.48,2631.16,4116.58,10325.43,22408.64,4421.11,2838.35,5305.79,8668.55,21233.8,5820.61,3303.67,8366.55,8331.35,25822.18,6059.17,4147.19,9979.69,6991.64,27177.69,3448.12,2761.21,7910.38,3618.5,17738.2,3697.17,3196.82,10107.91,3181.54,20183.44,2765.69,2849.97,9027.95,3115.98,17759.6,2727.6,3560.28,5097.21,2790.58,14175.68,2956.17,3341.3,5589.78,2556.08,14443.33,2599.86,2787.88,4971.65,3039.38,13398.77,2988.69,2603.82,6680.2,4254.63,16527.34,3383.91,2547.8,8660.23,5551.15,20143.08,4435.2,4679.98,7718.31,8332.94,25166.43,4417.23,6172.63,4686.34,4369.01,19645.2,3418.17,4284.18,4930.28,6606.06,19238.7
..Milkfish,..Region XII (SOCCSKSARGEN),3905.32,4103.39,2972.76,3643.73,14625.2,4795.85,4010.3,3094.56,3639.42,15540.13,4957.25,4411.61,2801.44,3038.65,15208.95,3915.08,4149.94,3279.51,3144.87,14489.4,3931.49,4013.81,2921.98,2710.47,13577.75,3112.24,2285.96,2200.42,2527.28,10125.91,2059.85,1053.61,1437.92,1503.2,6054.59,1493.77,838.82,1157.72,1770.48,5260.79,1516.54,650.49,468.38,1043.06,3678.46,113.77,144.03,701.65,1432.42,2391.87,134.96,476.81,1208.74,1912.42,3732.93,652.67,672.26,958.83,802.02,3085.78,238.86,300.83,238.59,646.54,1424.83,363.76,396.84,585.08,708.01,2053.69,492.95,330.02,542.98,38.41,1404.38
..Milkfish,..Region XIII (Caraga),235.09,448.65,542.44,655.74,1881.93,225.18,440.22,545.31,559.26,1769.97,242.45,473.13,506.3,796.15,2018.03,259.64,453.32,471.52,952.38,2136.86,359.16,641.05,717.47,1118.77,2836.45,465.61,678.5,607.16,1200.58,2951.85,577.83,731.49,630.53,1362.13,3301.99,543.85,796.98,530.83,1925.94,3797.59,613.05,1188.28,590.04,2315.53,4706.89,1035.45,1260.89,628.7,2460.38,5385.41,1060.51,911.37,639.98,2228.04,4839.9,1609.26,1000.84,782.13,1992.85,5385.07,1188.24,1086.98,835.81,1130.24,4241.26,940.99,871.86,1007.82,1052.1,3872.77,1475.25,1179.3,773.86,534.48,3962.89
..Milkfish,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),660.98,699.4,506.83,2523.69,4390.9,728.67,681.2,518.44,2534.08,4462.39,734,682.54,498.17,2384.56,4299.27,695.18,683.61,484.92,2408.81,4272.53,842.8,687.98,460.39,2405.74,4396.91,886.3,692.61,466.84,2428.93,4474.68,825.27,699.64,468.63,2695.81,4689.35,844.78,1498.9,513.81,2734.12,5591.61,953.55,1517.85,537.65,2872.53,5881.57,1022.69,728.67,569.02,2926.17,5246.55,941.7,751.6,821.26,4822.3,7336.85,577.3,967.59,899.47,4871.29,7315.64,1178.71,685.85,833.97,2154.82,4853.35,105.19,204.14,615.82,1759.58,2684.74,449.57,174.63,15.9,15.41,655.51
..Tilapia,PHILIPPINES,93348.46,63107.26,46458.08,55925.62,258839.42,90325.29,64006.35,45990.84,57062.96,257385.44,90196.64,65835.7,44509.6,59993.73,260535.67,93157.89,67533.35,45192.66,62934.84,268818.73,92274.16,71573.42,36801.2,58549.36,259198.13,89181.31,69959.29,37502.08,64567.76,261210.44,86999.76,68345.04,40469.65,63231.1,259045.56,87679.7,73386.78,40563.55,66104.76,267734.8,82314.34,75027.28,47215.5,72448.56,277005.69,79842.1,74948.96,45629.65,78965.16,279385.87,79333.55,73298.72,45063.26,66175.76,263871.29,84013.34,81774.32,40369.26,74957.38,281114.3,78894.45,71396.41,38045.66,63490.33,251826.85,89624.43,67209.38,40217.57,57117.69,254169.07,97352.45,65187.02,42614.03,55810.84,260964.34
..Tilapia,..National Capital Region (NCR),15.41,14.26,175.64,284.74,490.04,215.95,16.15,185.17,286.68,703.94,268.82,27.98,178,325.49,800.28,214,25.09,188.68,351.95,779.71,191.95,15.84,182.16,326.91,716.86,30.95,2.38,191.08,173.83,398.24,30.95,2.08,160.66,100.42,294.11,25.93,5.91,116.58,31.93,180.35,29.03,1.68,129.62,128.69,289.01,37.39,1.55,100.05,114.52,253.51,17.67,12.28,2.1,2.86,34.91,22.31,17.4,15.91,23.18,78.8,155.73,80.41,88.92,132.75,457.81,42.15,240.2,29.57,128.36,440.28,43.52,58.09,205.48,25.02,332.11
..Tilapia,..Cordillera Administrative Region (CAR),793.39,540.05,493.32,789.79,2616.55,796.21,605.09,539.42,732.04,2672.77,799.48,615.63,571.59,751.22,2737.92,822.66,626.98,573.88,766.7,2790.22,822.56,646.28,582.92,765.86,2817.61,893.41,625.56,486.81,686.29,2692.07,905.99,621.2,576.96,859.38,2963.54,843.52,654.14,575.56,923.29,2996.51,1004.87,828.08,583.3,891,3307.24,1033.49,610.14,531.02,909.14,3083.79,703.29,657.06,602.53,796.81,2759.69,841.36,845.77,692.11,1058.24,3437.48,876.08,844.26,830.99,801.35,3352.68,722.86,939.28,596.07,650.91,2909.11,833.52,665.84,792.58,777.59,3069.54
..Tilapia,..Region I (Ilocos Region),4077.53,4375.15,485.21,878,9815.89,4981.21,4181.5,389.13,895.65,10447.49,4611.6,4511.31,428.3,956.65,10507.86,4661.13,5074.08,360.54,937.67,11033.43,3266.8,9387.74,374.91,978.1,14007.55,3238.63,9312.44,413.36,1128.91,14093.34,2792.69,7867.39,599.52,1182.09,12441.69,2123.28,10917.29,598.41,1271.51,14910.5,2210.03,12631.29,366.15,1622.18,16829.65,2153.2,12711.38,362.59,2456.44,17683.62,2194.32,12269.19,369.59,2492,17325.11,1845.19,10182.82,375.44,3030.03,15433.48,1488.67,10184.46,400,3342.69,15415.82,1638.7,11344.98,420.63,3238.25,16642.56,1505.79,9703.32,355.03,3001.97,14566.12
..Tilapia,..Region II (Cagayan Valley),2501.77,2094.83,2005.63,2196.52,8798.74,1665.47,3203.7,2846.85,2962.86,10678.89,1868.17,3053.5,3447.6,3150.68,11519.95,1898.46,3195.82,2873.72,3191.95,11159.95,1867.91,3158.98,3050.76,2908.91,10986.57,1783.61,3147.63,2098.08,2476.04,9505.36,1987.54,2819.19,2146.02,2183.96,9136.71,1823.9,3262.1,2125.22,2274.6,9485.82,1857.07,3142.24,2345.47,2015.75,9360.53,1908.66,3094.99,2413.76,2008.61,9426.01,1889.84,3203.91,2532.94,1908.8,9535.49,1895.6,3491.64,2614.16,1986.61,9988,2001.39,3538.17,2823.46,1989.13,10352.15,1548.01,3985.86,3026.56,2137.13,10697.56,1908.27,3127.62,3227.76,1642.54,9906.19
..Tilapia,..Region III (Central Luzon),53920.44,30477.63,9773.74,27004.21,121176.01,50025.28,31496.61,10377.15,25954.12,117853.16,48111.58,31164.58,10118.32,27878.83,117273.31,50750.47,32133.58,9838.19,28915.84,121638.08,53096.4,30873.29,9916.58,29382.24,123268.51,54942.37,28258.54,10534.2,30298.57,124033.68,51351.38,29629.63,11822.39,31606.55,124409.96,54248.91,31974.28,11737.85,32864.12,130825.15,55122.23,33105.2,13101.79,32028.29,133357.51,55063.04,33443.91,12520.15,30459.64,131486.75,56250.9,34761.61,14118.91,31086.93,136218.36,58601.23,37955.81,13799.59,34030.46,144387.09,59050.44,37532.04,13750.79,35654.92,145988.18,66530.97,36021.31,23129.37,34293.91,159975.56,77241.49,37163.77,20278.5,37037.02,171720.78
..Tilapia,..Region IV-A (CALABARZON),25009.56,17539.85,26006.23,17704.98,86260.61,25506.78,16429.03,23793.08,19213.16,84942.04,27461.95,17874.99,21852.62,20270.37,87459.94,28453.67,17800.89,23373.81,21395.84,91024.21,26590.6,19021.86,15357.34,16706.42,77676.22,21934.24,20892.16,16820.8,21465.48,81112.68,24747.97,20985.77,18570.31,18354.97,82659.03,23652.1,20334.52,17907.72,18922.76,80817.09,16521.73,19215.57,22205.27,23548.63,81491.2,14150.83,17275.06,20999.97,29751.65,82177.51,11793.33,15264.25,19327.14,15035.28,61420,14880.64,17874.08,15116.27,16010.84,63881.83,6714.34,11991.47,14064.13,11647.68,44417.62,12497.17,8571.11,7180.87,7598.91,35848.06,9877.37,8198.49,10106.35,3651.44,31833.65
..Tilapia,..MIMAROPA Region,149.82,133.68,161.99,113.51,559,181.36,140.12,181.3,124.22,627.01,191.26,141.72,198.89,143.45,675.32,210.88,148.65,210.23,115.73,685.48,231.63,130.52,199.97,108.88,671.01,50.42,64.34,135.27,48.28,298.31,44.6,25.84,76.49,43.94,190.86,49.41,41.2,47.46,57.83,195.91,79.71,40.81,27.84,47.22,195.59,68.09,42.11,26.16,55.62,191.97,57.43,46.53,35.73,46.84,186.53,39.65,46.03,61.88,74.56,222.12,201.99,90.33,69.45,521.84,883.62,75.07,90.32,258.83,35.6,459.82,49.39,52.89,99.47,48.56,250.31
..Tilapia,..Region V (Bicol Region),1969.19,3658.73,2790.99,982.32,9401.23,1905.13,3599.3,2716.83,1116.83,9338.09,1885.82,3574.41,2987.03,1316.35,9763.61,2083.73,3539.54,2870.77,1323.09,9817.13,2153.49,3552.16,2759.57,1378.3,9843.53,1984.39,3140.21,2329.27,1441.02,8894.89,1539.08,2773.44,2324.52,1436.94,8073.98,1346.18,2934.02,3099.08,2513.82,9893.1,1911.77,2694.05,3010.16,2434.82,10050.8,1604.85,3113.24,2870.29,2553.43,10141.8,1623.65,3481.89,2879.5,1791.58,9776.62,1672.52,5085.02,1593.24,4223.43,12574.21,1512.38,896.52,429.48,632.9,3471.29,1241.59,560.57,193.64,798.46,2794.27,681.36,318.15,315.39,443.12,1758.02
..Tilapia,..Region VI (Western Visayas),139.45,228.2,304.2,431.53,1103.38,166.89,274.39,388.23,509.41,1338.92,176.28,441.07,300.53,690.99,1608.87,206.03,528.05,361.97,820.24,1916.29,153.38,475.02,306.54,822.76,1757.7,315.89,623.99,313.71,1142.72,2396.31,351.99,453.12,221.3,1469,2495.41,481.65,505.47,324.94,1702.41,3014.47,429.6,279.07,330.09,2038.2,3076.95,299.84,476.06,555.87,2791.48,4123.25,339.98,501.57,450.15,4348.04,5639.74,499.96,385.77,687.39,5081.56,6654.68,178.98,974.69,354.62,1453.07,2961.37,299.11,608.43,91.86,327.93,1327.33,218.91,580.5,1527.83,869.57,3196.8
..Tilapia,..Region VII (Central Visayas),94.55,65.03,74.98,118.77,353.34,71.73,66.5,107.92,120.78,366.93,103.97,74.63,92.61,59.32,330.51,66.46,49.8,71.31,58.77,246.35,44.77,34.46,50.46,56.37,186.06,59.02,63.29,46.63,40.77,209.71,68.71,54.14,69.46,105.67,297.99,68.31,21.56,143.71,122.85,356.42,99.73,54.59,145.01,67.51,366.84,109.39,122.03,164.68,60.77,456.88,156.28,142.06,84.68,83.79,466.81,158.12,152.69,82.75,49.68,443.24,75.77,108.12,126.03,128.86,438.77,82.07,184.1,96.22,122.91,485.3,98.42,128.77,175.68,183.69,586.55
..Tilapia,..Region VIII (Eastern Visayas),237.37,90.57,79.8,88.14,495.89,178.73,97.41,92.51,40.7,409.36,149.21,62.89,88.68,37.98,338.75,177.73,40.08,137.7,33.7,389.22,120.58,24.39,73.19,29.23,247.39,165.6,22.9,65.75,24.25,278.51,227.77,22.18,63.37,21.96,335.28,103.03,37.3,52.62,26.91,219.86,402.2,21.18,53.28,12.34,489.01,516.62,26.51,75.58,11.22,629.94,685.89,24.02,71.5,16.06,797.46,268.68,22.77,51.73,7.63,350.81,55.97,74.44,68.26,78.2,276.87,66.01,33.02,65.15,50.23,214.4,52.7,139.01,67.99,82.74,342.43
..Tilapia,..Region IX (Zamboanga Peninsula),498.05,608.44,382.31,401.22,1890.02,528.48,694.34,261.62,315.82,1800.25,357.1,340.96,262.2,294.83,1255.08,354.02,286.54,245.98,343.04,1229.58,316.9,324.69,255.77,340.89,1238.25,293.1,308.99,230.81,356.51,1189.41,312.52,221.87,83.13,791.43,1408.94,294.64,156.9,91.01,281.62,824.17,152.09,129.5,72.77,212.23,566.59,131.56,131.27,100.63,136.95,500.41,136.21,140.51,104.48,156.46,537.67,71.14,136.3,107.95,69.28,384.68,200.69,95.69,38.11,70.69,405.18,21.92,67.58,31.18,51.81,172.49,47.99,43.67,76.07,161.21,328.94
..Tilapia,..Region X (Nothern Mindanao),534.85,265.64,284.18,387.61,1472.29,517.89,324.79,285.97,271.15,1399.81,607.41,309.53,279.58,308.62,1505.13,412.47,256.91,280,376.8,1326.19,318.64,159.52,245.77,502.67,1226.6,418.85,216.3,256.46,619.85,1511.46,382,171.73,233.28,416.27,1203.28,263.6,246.75,298.08,464.36,1272.79,334.47,245.45,303.45,475.31,1358.68,431.13,209.27,250.43,411.29,1302.12,433.87,208.26,236.86,387.99,1266.98,475.61,234.2,241.33,500.01,1451.14,575.3,1895.66,846.74,711.39,4029.09,735.56,1572.28,998.11,717.67,4023.63,548.99,1146.13,875.8,794.71,3365.63
..Tilapia,..Region XI (Davao Region),237.65,371.53,434.52,334.74,1378.44,186.26,367.99,893.22,332.44,1779.91,266.78,1136.19,916.08,413.66,2732.71,321.83,1269.23,857.82,220.17,2669.05,313.37,1097.22,846.85,246.84,2504.28,274.57,1064.83,979.06,270.21,2588.67,206.37,786.02,853.67,283.35,2129.41,173.5,905.06,752.39,161.69,1992.63,238.52,686.38,459.65,378.86,1763.42,132.7,987.76,673.54,322.2,2116.2,152.33,674.47,577.1,1061.55,2465.45,168.53,900.43,839.38,1114.77,3023.11,280.74,253.95,168.85,342.92,1046.46,215.56,393.37,148.6,227.29,984.81,68.64,61.29,69.58,97.5,297.01
..Tilapia,..Region XII (SOCCSKSARGEN),2650.95,1978.49,1411.21,2466,8506.65,2840.97,1896.08,1380.12,2491.88,8609.04,2782.83,1897.65,1154.3,1673.77,7508.55,1997.14,1977.55,1249.01,1272.02,6495.71,2177.19,2100.65,974.82,1148.54,6401.21,2164.29,1651.33,979.37,912.27,5707.25,1404.48,1287.56,1018.62,892.72,4603.38,1486.42,745.07,948.07,867.49,4047.04,1173.08,1287.34,1255.85,1268.53,4984.79,1444.09,2022.91,1162.56,1514.96,6144.52,2185.56,1216.25,911.51,1371.2,5684.52,2134.3,3768.31,1186.26,1999.9,9088.76,1387.35,1813.63,1578.79,2045.51,6825.27,1634.08,1668.4,1329.79,1601.78,6234.04,2317.86,2182.24,2492.68,2242.44,9235.22
..Tilapia,..Region XIII (Caraga),62.23,38.99,73.34,117.58,292.14,80.39,45.71,61.77,72.75,260.62,76.83,55.4,72.06,65.07,269.36,47.08,26.9,63.53,54.96,192.47,34.28,24.71,68.65,71.3,198.93,48.66,17.47,45.4,107.89,219.41,59,16.5,57.79,106.51,239.8,63.29,12.91,88.97,116.65,281.83,44.61,11.58,70.23,98.16,224.58,37.71,18.3,31.1,62.04,149.15,32.62,15.06,32.27,45.51,125.46,57.3,39.94,161.79,152.54,411.57,117.1,121.35,182.08,184.1,604.62,103.88,79.47,263.48,109.56,556.4,154.88,231.12,302.42,191.2,879.61
